mode,atlas,fc_version,fold_or_site,auc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,train_time_sec,infer_ms_per_sample,epochs_run,n_params,n_eval,_src
within_site,AAL,v2,Caltech,0.6791666666666666,0.65,0.6333333333333333,0.5333333333333333,0.82,0.45,0.8166666666666667,0.6969861268997193,14.63181266784668,2.250217539923532,34.4,32258.0,7.4,run_20260620_073443
within_site,AAL,v2,KKI,0.8433333333333334,0.6392857142857142,0.6966666666666667,0.6627705627705628,0.8761904761904763,0.5933333333333334,0.8,0.7387344002723694,16.122263622283935,2.1577554089682445,36.0,32258.0,7.8,run_20260620_073443
within_site,AAL,v2,Leuven,0.7271428571428572,0.5730769230769229,0.5980952380952381,0.4984126984126984,0.5789682539682539,0.5095238095238096,0.6866666666666668,0.6464475870132447,25.010934400558465,3.1816617036477113,33.4,32258.0,12.2,run_20260620_073443
within_site,AAL,v2,MaxMun,0.4225,0.4722222222222222,0.4616666666666667,0.5533333333333333,0.5476190476190476,0.59,0.3333333333333333,0.4778178155422211,11.563368988037107,2.2072308593326144,23.2,32258.0,8.4,run_20260620_073443
within_site,AAL,v2,NYU,0.7081453634085213,0.6546218487394958,0.6511027568922305,0.6810848850423988,0.7148809523809524,0.6631578947368422,0.639047619047619,0.5287052035331726,56.659442567825316,3.0724093493293307,27.2,32258.0,34.2,run_20260620_073443
within_site,AAL,v2,OHSU,0.8,0.61,0.6166666666666666,0.6066666666666667,0.6333333333333333,0.6666666666666666,0.5666666666666667,0.5061810910701752,5.46443018913269,1.8471741676330569,21.4,32258.0,4.6,run_20260620_073443
within_site,AAL,v2,Olin,0.8333333333333334,0.68,0.6333333333333333,0.36,0.4,0.3333333333333333,0.9333333333333332,0.5314566195011139,7.308368396759032,1.9662094116210935,25.8,32258.0,5.0,run_20260620_073443
within_site,AAL,v2,Pitt,0.8200000000000001,0.6888888888888889,0.7,0.5954545454545455,0.6571428571428571,0.62,0.78,0.6873284876346588,17.33270659446716,2.508873409695095,33.0,32258.0,9.0,run_20260620_073443
within_site,AAL,v2,SBL,0.6888888888888889,0.5733333333333333,0.5833333333333333,0.6119047619047621,0.6799999999999999,0.7666666666666666,0.4,0.5011243343353271,6.542236709594728,2.0343828201293945,22.8,32258.0,5.2,run_20260620_073443
within_site,AAL,v2,SDSU,0.7833333333333333,0.6190476190476191,0.595,0.6647619047619047,0.6866666666666666,0.6900000000000001,0.5,0.5225823879241943,7.536947107315062,1.8712327593848816,21.0,32258.0,6.6,run_20260620_073443
within_site,AAL,v2,Stanford,0.6291666666666667,0.525,0.5249999999999999,0.5038095238095238,0.5866666666666667,0.4666666666666666,0.5833333333333333,0.5188894748687745,9.55749568939209,2.003215891974313,22.6,32258.0,7.2,run_20260620_073443
within_site,AAL,v2,Trinity,0.6,0.5638888888888889,0.5700000000000001,0.4380952380952381,0.5666666666666667,0.37,0.77,0.5587660908699036,13.45182819366455,1.978478166792128,27.2,32258.0,8.8,run_20260620_073443
within_site,AAL,v2,UCLA,0.7,0.64,0.6339285714285714,0.6098412698412699,0.77,0.5821428571428571,0.6857142857142857,0.5606646239757538,24.14943466186524,3.0855941772460938,26.0,32258.0,15.0,run_20260620_073443
within_site,AAL,v2,UM,0.7150427350427351,0.5928853754940712,0.6288888888888888,0.4683365330321852,0.8677777777777778,0.4,0.8577777777777778,0.7005137503147125,44.0509647846222,2.7988539382874262,33.4,32258.0,22.6,run_20260620_073443
within_site,AAL,v2,USM,0.7528571428571429,0.7025641025641025,0.62,0.3133333333333333,0.5428571428571429,0.29,0.95,0.7944974064826965,33.70791273117065,2.9906853651389103,45.2,32258.0,12.2,run_20260620_073443
within_site,AAL,v2,Yale,0.591,0.5022222222222222,0.5216666666666667,0.41984126984126985,0.6857142857142857,0.3533333333333333,0.6900000000000001,0.6225878357887268,17.045790338516234,2.6360999213324647,31.2,32258.0,9.6,run_20260620_073443
pooled_cv,Schaefer100,v1,1,0.6756097560975609,0.615819209039548,0.6170731707317073,0.6263736263736264,0.6551724137931034,0.6,0.6341463414634146,0.5900212526321411,219.87956953048703,2.344399522253349,24.0,30210.0,177.0,run_20260620_073443
pooled_cv,Schaefer100,v1,2,0.6672657252888318,0.655367231638418,0.6555840821566109,0.6702702702702703,0.6888888888888889,0.6526315789473685,0.6585365853658537,0.33488431572914124,703.6000304222107,2.51801000476557,75.0,30210.0,177.0,run_20260620_073443
pooled_cv,Schaefer100,v1,3,0.6251604621309371,0.5932203389830508,0.5868421052631578,0.64,0.6095238095238096,0.6736842105263158,0.5,0.3737226724624634,216.86978888511658,2.4791854923054317,23.0,30210.0,177.0,run_20260620_073443
pooled_cv,Schaefer100,v1,4,0.694187242798354,0.6440677966101694,0.6410108024691359,0.6735751295336787,0.6701030927835051,0.6770833333333334,0.6049382716049383,0.4058016240596771,218.78266954422,2.3561143605722545,24.0,30210.0,177.0,run_20260620_073443
pooled_cv,Schaefer100,v1,5,0.6855100714749839,0.6534090909090909,0.6498375568551007,0.6839378238341969,0.6734693877551021,0.6947368421052632,0.6049382716049383,0.4744960367679596,202.02254486083984,2.297423102638938,22.0,30210.0,176.0,run_20260620_073443
loso,Schaefer100,v1,CMU,0.6666666666666667,0.4,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3393037021160126,510.6397929191589,1.471710205078125,51.0,30210.0,5.0,run_20260620_073443
loso,Schaefer100,v1,Caltech,0.6695906432748538,0.5945945945945946,0.5935672514619883,0.5714285714285715,0.5882352941176471,0.5555555555555556,0.631578947368421,0.4586639404296875,273.2043616771698,2.3993543676427893,27.0,30210.0,37.0,run_20260620_073443
loso,Schaefer100,v1,KKI,0.5925925925925926,0.5128205128205128,0.5324074074074074,0.5777777777777777,0.7222222222222222,0.4814814814814815,0.5833333333333334,0.6106873750686646,207.6598219871521,2.093718602107121,21.0,30210.0,39.0,run_20260620_073443
loso,Schaefer100,v1,Leuven,0.7200435729847494,0.7377049180327869,0.7113289760348583,0.7999999999999999,0.6956521739130435,0.9411764705882352,0.4814814814814815,0.5065028071403503,236.4430432319641,2.4354145175120867,24.0,30210.0,61.0,run_20260620_073443
loso,Schaefer100,v1,MaxMun,0.5787037037037037,0.5952380952380952,0.5902777777777778,0.6382978723404256,0.6521739130434783,0.625,0.5555555555555556,0.3775234222412109,395.6191232204437,2.412341889880953,40.0,30210.0,42.0,run_20260620_073443
loso,Schaefer100,v1,NYU,0.6982107911657814,0.6432748538011696,0.6415991053955828,0.6772486772486773,0.7032967032967034,0.6530612244897959,0.6301369863013698,0.7324525117874146,372.5787036418915,3.0248304556684884,40.0,30210.0,171.0,run_20260620_073443
loso,Schaefer100,v1,OHSU,0.7196969696969697,0.6086956521739131,0.6136363636363636,0.64,0.5714285714285714,0.7272727272727273,0.5,0.3902057707309723,270.3558626174927,2.1317005157470703,27.0,30210.0,23.0,run_20260620_073443
loso,Schaefer100,v1,Olin,0.6493506493506493,0.64,0.6396103896103896,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.6428571428571429,0.4922298192977905,875.4281270503998,2.0868873596191406,88.0,30210.0,25.0,run_20260620_073443
loso,Schaefer100,v1,Pitt,0.7154150197628458,0.6222222222222222,0.6195652173913043,0.6666666666666666,0.6071428571428571,0.7391304347826086,0.5,0.4045586585998535,256.2273662090301,2.269834942287869,26.0,30210.0,45.0,run_20260620_073443
loso,Schaefer100,v1,SBL,0.6488095238095238,0.5,0.5178571428571428,0.5806451612903226,0.4736842105263158,0.75,0.2857142857142857,0.5521758198738098,216.3528959751129,2.160053986769456,22.0,30210.0,26.0,run_20260620_073443
loso,Schaefer100,v1,SDSU,0.7619047619047619,0.6666666666666666,0.6845238095238095,0.7027027027027026,0.8125,0.6190476190476191,0.75,0.5059801936149597,216.20594692230225,2.236402395999793,22.0,30210.0,33.0,run_20260620_073443
loso,Schaefer100,v1,Stanford,0.7956656346749225,0.6388888888888888,0.6547987616099071,0.5185185185185185,0.875,0.3684210526315789,0.9411764705882352,0.4792941212654114,345.9485487937927,2.19747092988756,35.0,30210.0,36.0,run_20260620_073443
loso,Schaefer100,v1,Trinity,0.7432712215320911,0.5909090909090909,0.5921325051759834,0.5909090909090909,0.6190476190476191,0.5652173913043478,0.6190476190476191,0.4758470952510834,226.8274164199829,2.352654933929444,23.0,30210.0,44.0,run_20260620_073443
loso,Schaefer100,v1,UCLA,0.693019943019943,0.6533333333333333,0.6474358974358974,0.7045454545454547,0.6326530612244898,0.7948717948717948,0.5,0.3885689079761505,232.89075803756714,2.50179926554362,24.0,30210.0,75.0,run_20260620_073443
loso,Schaefer100,v1,UM,0.7217948717948719,0.5752212389380531,0.6171474358974359,0.4782608695652174,0.8148148148148148,0.3384615384615385,0.8958333333333334,0.5170167088508606,206.19508504867557,3.1122275158367327,21.0,30210.0,113.0,run_20260620_073443
loso,Schaefer100,v1,USM,0.7620137299771167,0.6721311475409836,0.6767734553775744,0.6153846153846154,0.5517241379310345,0.6956521739130435,0.6578947368421053,0.5441803932189941,223.9308021068573,2.307004615908764,23.0,30210.0,61.0,run_20260620_073443
loso,Schaefer100,v1,Yale,0.7272727272727273,0.7916666666666666,0.7797202797202798,0.8275862068965517,0.75,0.9230769230769232,0.6363636363636364,0.5461483001708984,213.6479547023773,3.0704339345296225,22.0,30210.0,48.0,run_20260620_073443
within_site,Schaefer100,v1,Caltech,0.6,0.4607142857142857,0.475,0.3133333333333333,0.4,0.35,0.6,0.5050135612487793,8.305549001693725,1.699842725481306,21.8,30210.0,7.4,run_20260620_073443
within_site,Schaefer100,v1,KKI,0.61,0.5607142857142857,0.5566666666666666,0.6214652014652015,0.7961904761904762,0.5466666666666666,0.5666666666666667,0.6589196205139161,12.010107564926148,1.6180600438799175,31.4,30210.0,7.8,run_20260620_073443
within_site,Schaefer100,v1,Leuven,0.7012698412698414,0.5717948717948718,0.5866666666666667,0.5489177489177489,0.6873015873015873,0.5666666666666667,0.6066666666666667,0.5481544494628906,19.897489976882934,2.177343001732459,30.6,30210.0,12.2,run_20260620_073443
within_site,Schaefer100,v1,MaxMun,0.5666666666666667,0.525,0.4916666666666667,0.5897435897435896,0.5785714285714285,0.65,0.3333333333333333,0.4844952523708344,10.603852033615114,1.6996959845225017,25.0,30210.0,8.4,run_20260620_073443
within_site,Schaefer100,v1,NYU,0.6931228070175438,0.6141176470588234,0.6396741854636592,0.5616143317230273,0.8047619047619048,0.4831578947368421,0.7961904761904762,0.7827582776546478,69.87295222282411,2.719046007685301,39.6,30210.0,34.2,run_20260620_073443
within_site,Schaefer100,v1,OHSU,0.7166666666666666,0.65,0.65,0.6076190476190476,0.5333333333333333,0.7333333333333333,0.5666666666666667,0.5598064601421356,5.589864873886109,1.5235519409179688,24.6,30210.0,4.6,run_20260620_073443
within_site,Schaefer100,v1,Olin,0.7333333333333334,0.68,0.6666666666666666,0.5533333333333333,0.6333333333333333,0.5333333333333333,0.7999999999999999,0.5368131458759308,5.447125434875488,1.49810791015625,23.2,30210.0,5.0,run_20260620_073443
within_site,Schaefer100,v1,Pitt,0.9,0.6222222222222222,0.635,0.4515873015873016,0.55,0.4,0.8699999999999999,0.6719771742820739,14.695388031005859,1.6361872355143228,33.6,30210.0,9.0,run_20260620_073443
within_site,Schaefer100,v1,SBL,0.5444444444444445,0.5333333333333333,0.5166666666666667,0.44333333333333336,0.3866666666666666,0.5333333333333333,0.4999999999999999,0.519056749343872,5.156168460845947,1.6675837834676108,21.0,30210.0,5.2,run_20260620_073443
within_site,Schaefer100,v1,SDSU,0.675,0.4619047619047619,0.4783333333333333,0.4071428571428571,0.5366666666666666,0.39,0.5666666666666667,0.5668112397193908,8.125599145889282,1.7343555177961076,26.2,30210.0,6.6,run_20260620_073443
within_site,Schaefer100,v1,Stanford,0.7708333333333333,0.55,0.5666666666666667,0.5733333333333334,0.6857142857142857,0.6,0.5333333333333333,0.5759212136268616,9.252603578567506,1.8214881420135496,26.6,30210.0,7.2,run_20260620_073443
within_site,Schaefer100,v1,Trinity,0.6824999999999999,0.4777777777777778,0.48,0.16999999999999998,0.18666666666666668,0.16,0.8,0.752656900882721,17.49881706237793,1.93855431344774,40.2,30210.0,8.8,run_20260620_073443
within_site,Schaefer100,v1,UCLA,0.6714285714285715,0.5599999999999999,0.575,0.3808547008547009,0.6761904761904762,0.3142857142857143,0.8357142857142857,0.7632193684577941,27.158868980407714,2.422157923380534,35.8,30210.0,15.0,run_20260620_073443
within_site,Schaefer100,v1,UM,0.7052991452991455,0.5758893280632409,0.5824786324786325,0.6025266156845104,0.6947052947052946,0.5538461538461539,0.6111111111111109,0.6023588180541992,31.657480669021613,2.3771024975380874,28.0,30210.0,22.6,run_20260620_073443
